id	paper	permanent_id	host	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
82	335	GF05000024S	Coffea arabica	root	8.878	-82.9415	North America	2011	2011	cropland	5.8S/ITS4	21.2	3611	5.6	11.1	575210	0	118
83	335	GF05000016S	Coffea arabica	root	8.878	-82.9524	North America	2011	2011	cropland	5.8S/ITS4	21.5	3583	5.6	6.3	549226	0	3
142	480	GF04000276S	Selaginella kraussiana	root	-41.2582	174.772	Australia	2014	2014	forest	ITS1F/ITS4	13.1	1116	5.3	4.6	1290334	0	18
354	335	GF05000005S	Coffea arabica	root	10.3244	-84.8417	North America	2012	2012	cropland	5.8S/ITS4	19.4	2470	5.5	6.5	459690	0	845
396	335	GF05000020S	Coffea arabica	root	10.3252	-84.8405	North America	2011	2011	cropland	5.8S/ITS4	18.9	2544	5.5	6.7	317795	0	6149
648	335	GF05000018S	Coffea arabica	root	10.2845	-84.797	North America	2011	2011	cropland	5.8S/ITS4	19.8	2771	5.4	5	371187	0	5687
837	538	GF03006824S	Solanum tuberosum	root	55.6158	49.3356	Asia	2016	2016	cropland	ITS3_KYO2/ITS4	4.3	543	5.8	13.4	37407	0	3
1265	844	GF01000109S	?	root	54.157	-2.97118	Europe	2013	2013	aquatic	ITS1F/ITS2	9.9	1186	5.9	16.5	979274	0	1
1313	387	GF04008062S	Schizachyrium scoparium	root	31.0919	-94.2654	North America	2015	2015	grassland	fITS7/ITS4	19.7	1364	5.1	2.9	34677	0	1
1733	480	GF04000279S	Lycopodium volubile	root	-41.2989	174.721	Australia	2014	2014	forest	ITS1F/ITS4	12.6	1273	5	5.3	827113	0	3
2598	335	GF05000001S	Coffea arabica	root	8.73839	-82.9491	North America	2011	2011	cropland	5.8S/ITS4	20.4	4146	5.6	11.4	436081	0	881
2644	231	GF05010504S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	82426	0	182
2769	387	GF04007528S	Andropogon gerardii	root	40.6646	-98.9063	North America	2015	2015	grassland	fITS7/ITS4	10.7	618	7	1.8	17494	0	1
3148	387	GF04007979S	Bouteloua gracilis	root	34.3421	-106.623	North America	2015	2015	grassland	fITS7/ITS4	14.2	308	7.8	0	16766	0	1
3443	569	GF03003928S	Potamogeton	root	38.0959	-122.151	North America	2015	2015	aquatic	ITS9/ITS4	15.7	518	6.5	9.6	64262	0	314
3449	335	GF05000002S	Coffea arabica	root	8.87808	-82.9509	North America	2011	2011	cropland	5.8S/ITS4	21.5	3583	5.6	5.9	418789	0	38
3844	335	GF05000015S	Coffea arabica	root	8.90947	-82.8939	North America	2012	2012	cropland	5.8S/ITS4	19.9	3579	5.9	7.6	298807	0	513
3849	231	GF05010498S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	14706	0	45
4035	643	GF02000235S	Populus deltoides	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	25964	0	1
4037	569	GF03003977S	Alisma	root	38.2598	-121.424	North America	2015	2015	aquatic	ITS9/ITS4	17.3	433	6.7	9.6	154824	0	5942
4527	570	GF03003678S	Zostera marina	root	38.3201	-123.054	Pacific Ocean	2016	2016	aquatic	5.8S_Fun/ITS4_Fun	14.9	1061	NA	NA	60773	0	781
4758	82	GF05023010S	Picea abies	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	47078	0	1
4827	38	GF05026962S	?	root	48.38	9.4	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.6	803	5	16.3	28899	0	1
5555	335	GF05000012S	Coffea arabica	root	8.87847	-82.95	North America	2012	2012	cropland	5.8S/ITS4	21.3	3593	5.6	5.7	534421	0	3
5925	231	GF05010505S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	48830	0	278
5938	335	GF05000008S	Coffea arabica	root	10.3538	-84.8698	North America	2012	2012	cropland	5.8S/ITS4	20.6	2426	5.7	7.6	578234	0	64
5939	335	GF05000025S	Coffea arabica	root	8.92167	-82.8809	North America	2011	2011	cropland	5.8S/ITS4	19.3	3547	5.9	8.5	571974	0	127
6130	335	GF05000013S	Coffea arabica	root	8.91	-82.8904	North America	2012	2012	cropland	5.8S/ITS4	19.7	3552	5.9	9.6	693436	0	317
6280	160	GF05016070S	Nicotiana tabacum	root	25.7886	112.621	Asia	2016	2016	cropland	5.8S_Fun/ITS4_Fun	19	1533	6.4	12.6	2437	0	1
6325	82	GF05023046S	Pinus sylvestris	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	16067	0	1
6362	335	GF05000017S	Coffea arabica	root	10.3272	-84.8421	North America	2011	2011	cropland	5.8S/ITS4	19.1	2495	5.5	6.6	264789	0	10141
6399	335	GF05000006S	Coffea arabica	root	10.3269	-84.8416	North America	2012	2012	cropland	5.8S/ITS4	18.9	2544	5.5	5.7	452698	0	4926
6516	15	GF05029101S	Castanea henryi	root	29.08	117.9	Asia	2014	2014	forest	ITS1F/ITS4 then fITS7/ITS4	18.1	1859	5.3	4.7	34334	0	1
6697	335	GF05000014S	Coffea arabica	root	8.93456	-82.8285	North America	2012	2012	cropland	5.8S/ITS4	18.5	3226	5.5	11	127470	0	128
6861	82	GF05023034S	Pinus sylvestris	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	68490	0	414
6988	42	GF05026719S	Polytrichum commune	root	-21.1188	55.6433	Africa	2019	2019	shrubland	ITS86F/ITS4	19.2	3535	5.1	8.8	13938	0	1
7183	220	GF05011322S	Isochilus linearis	root	-20.7209	-42.4817	South America	2016	2016	forest	ITS86F/ITS4	17.6	1465	5.3	3.5	2769647	0	86
7381	231	GF05010495S	?	root	53.8729	-1.3285	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.2	7.6	70492	0	23
7465	400	GF04006476S	Mankyua chejuensis	root	33.478	126.728	Asia	2015	2015	woodland	ITS3/ITS4	14.3	1934	5.5	23.2	49856	0	8
7547	14	GF05029938S	Erica cinerea	root	46.8784	0.9988	Europe	2018	2018	forest	ITS86F/ITS4	11.9	740	5.2	5.4	13859	0	1
8118	335	GF05000009S	Coffea arabica	root	10.3545	-84.9047	North America	2012	2012	cropland	5.8S/ITS4	21.1	2415	5.6	5.7	375120	0	47
8283	82	GF05022956S	Picea abies	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	51720	0	4
8934	14	GF05029745S	Vaccinium vitis-idaea	root	52.3413	5.9104	Europe	2018	2018	forest	ITS86F/ITS4	9.9	797	4.7	29	38333	0	1
9744	844	GF01000177S	?	root	51.6891	0.943217	Europe	2013	2013	aquatic	ITS1F/ITS2	10.7	535	6.9	11.8	516787	0	1
10880	837	GF01000692S	Ilex paraguariensis	root	-25.8337	-53.9322	South America	2013	2013	cropland	ITS1F/ITS4	20.9	2066	5.4	2.4	55728	0	4
11156	335	GF05000023S	Coffea arabica	root	10.2757	-84.7561	North America	2011	2011	cropland	5.8S/ITS4	19	3448	5.5	9.3	520589	0	549
11526	80	GF05023194S	Panicum virgatum	root	35.549	-80.652	North America	2018	2018	grassland	5.8S_FUN/ITS4_FUN	15.4	1115	5.6	6.5	37353	0	13
11797	170	GF05015655S	Molinia caerulea	root	51	5.43	Europe	2019	2019	wetland	fITS7a/ITS4ngs	10.3	865	4.8	11.3	33243	0	1
11912	335	GF05000010S	Coffea arabica	root	8.90189	-82.7964	North America	2012	2012	cropland	5.8S/ITS4	19.2	3109	5.7	9	419174	0	55
12588	478	GF04000581S	"Fagus sylvatica
"	root	50.7502	4.422	Europe	2019	2019	forest	ITS86F/ITS4	10	861	4.4	5.6	6444	0	2
12646	82	GF05022898S	Betula pendula	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	58748	0	1
12918	167	GF05015745S	Elaeis guineensis	root	3.403	102.028	Asia	2017	2017	cropland	fITS7/ITS4	26.3	2184	4.7	2.5	47416	0	7
14562	231	GF05010488S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	77913	0	84
15239	643	GF02000122S	Populus deltoides	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	59752	0	23
15543	335	GF05000003S	Coffea arabica	root	10.3258	-84.8404	North America	2012	2012	cropland	5.8S/ITS4	18.9	2544	5.5	6.7	399892	0	1720
16487	335	GF05000019S	Coffea arabica	root	10.3226	-84.8431	North America	2011	2011	cropland	5.8S/ITS4	19.3	2452	5.4	6.2	405741	0	3053
16548	231	GF05010485S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	49324	0	31
16626	387	GF04008077S	Bouteloua dactyloides	root	30.1833	-97.8768	North America	2015	2015	grassland	fITS7/ITS4	20	900	7	5.7	56435	0	1
16874	82	GF05023050S	Picea abies	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	34171	0	2
16927	160	GF05016077S	Nicotiana tabacum	root	25.7886	112.621	Asia	2016	2016	cropland	5.8S_Fun/ITS4_Fun	19	1533	6.4	12.6	8024	0	474
17020	569	GF03003945S	Lilaea scilloides	root	39.4532	-121.639	North America	2015	2015	aquatic	ITS9/ITS4	18	702	6.1	10.1	193740	0	3045
17778	538	GF03006821S	Solanum tuberosum	root	55.6158	49.3356	Asia	2016	2016	cropland	ITS3_KYO2/ITS4	4.3	543	5.8	13.4	96043	0	8
18484	42	GF05026688S	Polytrichum commune	root	-21.1188	55.6433	Africa	2019	2019	shrubland	ITS86F/ITS4	19.2	3535	5.1	8.8	14865	0	1
18590	418	GF04004970S	Gymnadenia conopsea	root	51.7	124.333	Asia	2018	2018	grassland	ITS3/ITS4	-2.1	480	5.8	15.1	30371	0	1
18709	42	GF05026746S	Dicranopteris linearis	root	-21.1188	55.6433	Africa	2019	2019	shrubland	ITS86F/ITS4	19.2	3535	5.1	8.8	13640	0	1
18762	418	GF04004943S	Gymnadenia conopsea	root	51.7	124.333	Asia	2018	2018	grassland	ITS3/ITS4	-2.1	480	5.8	15.1	41919	0	3
18862	418	GF04004976S	Gymnadenia conopsea	root	51.7	124.333	Asia	2018	2018	grassland	ITS3/ITS4	-2.1	480	5.8	15.1	37801	0	1
19152	335	GF05000021S	Coffea arabica	root	8.95269	-82.9992	North America	2011	2011	cropland	5.8S/ITS4	21.7	3411	5.7	7	364738	0	21
19313	846	GF01000009S	Arabis alpina	root	45.0607	6.40244	Europe	2014	2014	shrubland	ITS9/ITS4	-0.6	1003	6	19.2	32917	0	1
20058	335	GF05000007S	Coffea arabica	root	10.3753	-84.899	North America	2012	2012	cropland	5.8S/ITS4	21.1	2418	5.8	3.7	419950	0	618
20065	643	GF02000083S	Populus trichocarpa x deltoides	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	21028	0	4
20099	231	GF05010494S	?	root	53.8729	-1.3285	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.2	7.6	60758	0	473
20328	220	GF05011325S	Epidendrum armeniacum	root	-20.7209	-42.4817	South America	2016	2016	forest	ITS86F/ITS4	17.6	1465	5.3	3.5	1007814	0	11
20839	82	GF05023019S	Picea abies	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	51297	0	1
20862	38	GF05026960S	?	root	48.37	9.25	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.7	779	5.5	15.2	29148	0	1
21402	231	GF05010507S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	34175	0	453
21800	387	GF04007739S	Bouteloua dactyloides	root	36.0235	-99.9439	North America	2015	2015	grassland	fITS7/ITS4	14.6	562	7.3	1.2	34440	0	1
22333	643	GF02000093S	Populus deltoides	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	23597	0	4
22608	231	GF05010486S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	71707	0	96
22609	231	GF05010482S	?	root	53.8729	-1.3285	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.2	7.6	59845	0	669
22610	231	GF05010484S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	33327	0	142
22612	231	GF05010516S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	48069	0	394
22614	231	GF05010515S	Elodea	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	73118	0	66
23500	569	GF03003965S	Schizachyrium scoparium	root	39.4532	-121.639	North America	2015	2015	aquatic	ITS9/ITS4	18	702	6.1	10.1	350358	0	203
23521	231	GF05010530S	Coffea arabica	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	48062	0	2
23890	387	GF04007866S	?	root	31.0919	-94.2654	North America	2015	2015	grassland	fITS7/ITS4	19.7	1364	5.1	2.9	41507	0	2
23898	335	GF05000011S	Populus deltoides	root	8.90372	-82.7866	North America	2012	2012	cropland	5.8S/ITS4	19	3169	5.4	7.5	271951	0	84
24456	38	GF05027096S	Populus deltoides	root	51.14	10.38	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.9	679	5.7	16.7	17384	0	8
24471	643	GF02000063S	?	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	102520	0	2
24515	643	GF02000096S	Castanopsis fargesii	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	69224	0	12
24516	38	GF05026866S	Magnoliophyta	root	48.39	9.41	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.9	792	5.8	16.7	15759	0	1
24836	231	GF05010529S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	40533	0	43
24839	15	GF05029046S	Castanopsis fargesii	root	29.08	117.9	Asia	2014	2014	forest	ITS1F/ITS4 then fITS7/ITS4	18.1	1859	5.3	4.7	34167	0	2
25181	708	GF01013196S	Magnoliophyta	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	2297	0	3
25187	708	GF01013195S	Plantago lanceolata	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	1716	0	8
25226	231	GF05010506S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	62741	0	695
25526	167	GF05015778S	Elaeis guineensis	root	2.65	102.513	Asia	2017	2017	cropland	fITS7/ITS4	26.8	1838	4.8	7.2	66290	0	1
25650	478	GF04000428S	Fagus sylvatica	root	50.7473	4.4037	Europe	2019	2019	forest	ITS86F/ITS4	9.9	904	4.5	7	47407	0	2
25663	70	GF05024211S	Maxillaria acuminata	root	-3.59	-79.08	South America	2012	2012	forest	ITS86F/ITS4	9.3	1096	5.4	19.5	32605	0	8
25816	82	GF05022955S	Betula pendula Roth.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	34303	0	3
25900	82	GF05023000S	Betula pendula Roth.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	9930	0	1
26457	38	GF05027038S	?	root	51.19	10.32	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.6	780	5.4	19.2	13110	0	1
26666	231	GF05010502S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	33650	0	476
26667	231	GF05010499S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	16916	0	50
26852	837	GF01000697S	Ilex paraguariensis	root	-26.9932	-55.2339	South America	2013	2013	cropland	ITS1F/ITS4	21.2	1859	5.6	3	61929	0	25
26936	708	GF01013197S	Myosotis arvensis	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	5898	0	1
27290	82	GF05022903S	Pinus sylvestris L.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	69145	0	1
27292	82	GF05023020S	Picea abies L. Karst.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	86000	0	382
27315	553	GF03005805S	Cyrtochilum pardinum	root	-2.8702	-79.1238	South America	2013	2013	forest	ITS86F/ITS4	9.6	869	5.6	14.8	42621	0	1
27518	175	GF05015009S	Juglans nigra	root	41.5385	-77.4062	North America	2012	2012	forest	ITS3_KYO2/ITS4	9.9	782	5.1	24.6	31202	0	1
28291	38	GF05026966S	?	root	48.39	9.41	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.9	792	5.8	16.7	20948	0	4
28416	708	GF01013203S	Myosotis arvensis	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	12840	0	4
28752	231	GF05010532S	?	root	53.8689	-1.32606	Europe	2016	2016	grassland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	20347	0	5
28872	335	GF05000004S	Coffea arabica	root	10.3246	-84.8428	North America	2012	2012	cropland	5.8S/ITS4	19.3	2452	5.5	6.5	237239	0	760
29657	82	GF05022882S	Betula pendula Roth.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	219433	0	2
29823	231	GF05010483S	?	root	53.8689	-1.32606	Europe	2016	2016	grassland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	62610	0	110
30419	387	GF04007861S	Andropogon gerardii	root	40.6948	-96.8545	North America	2015	2015	grassland	fITS7/ITS4	11.1	709	6.3	3.3	31134	0	13
30647	231	GF05010522S	?	root	53.8689	-1.32606	Europe	2016	2016	grassland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	35453	0	21
31057	332	GF05000376S	?	root	39.0967	105.394	Asia	2017	2017	desert	ITS3/ITS4	9.5	155	8.4	0	52809	0	110
31098	845	GF01000030S	Abies pinsapo	root	36.6923	-5.0191	Europe	2016	2016	forest	fITS7/ITS4	8.1	918	6.7	4.6	35498	0	1
31110	845	GF01000037S	Abies pinsapo	root	36.6923	-5.0191	Europe	2016	2016	forest	fITS7/ITS4	8.1	918	6.7	4.6	18896	0	4
31345	570	GF03003690S	Zostera marina	root	38.3202	-123.054	Pacific Ocean	2016	2016	aquatic	5.8S_Fun/ITS4_Fun	14.9	1061	NA	NA	55874	0	2
32151	387	GF04007877S	Andropogon gerardii	root	40.6646	-98.9063	North America	2015	2015	grassland	fITS7/ITS4	10.7	618	7	1.8	25746	0	1
32227	231	GF05010492S	?	root	53.8729	-1.3285	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.2	7.6	25515	0	423
34646	335	GF05000022S	Coffea arabica	root	10.3229	-84.842	North America	2011	2011	cropland	5.8S/ITS4	19.3	2452	5.4	6.2	200225	0	1810
34779	231	GF05010496S	?	root	53.8729	-1.3285	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.2	7.6	94011	0	2079
35178	231	GF05010510S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	18329	0	12
35616	170	GF05015586S	Eriophorum vaginatum	root	46.83	6.17	Europe	2019	2019	wetland	fITS7a/ITS4ngs	8.3	1293	5.1	19.7	28003	0	1
35704	569	GF03004033S	Zostera marina	root	43.0212	144.903	Pacific Ocean	2016	2016	aquatic	ITS9/ITS4	7.6	950	NA	NA	2038	0	1
35905	837	GF01000693S	Ilex paraguariensis	root	-25.8345	-53.9319	South America	2013	2013	cropland	ITS1F/ITS4	20.9	2066	5.4	2.5	56303	0	30
35975	231	GF05010518S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	73323	0	82
36111	231	GF05010508S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	22783	0	112
36146	231	GF05010509S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	94618	0	72
36147	231	GF05010514S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	27372	0	14
